customer_id,name,email,phone_number,address,interaction_id,date_time,issue_category,issue_description,agent_id
453e50e0-232e-44ea-9fe3-28d550be6294,Nicolas Pelaez,nicolas.pelaez@example.com,2327115355,"219 Kevin Shores, New Melissafort, PW 78001",2b8f5009-c1ef-49ec-bc06-c2b3e170cfb3,2025-08-11T09:43:48.656-04:00,Returns,"Hi, I've been enjoying my new SoundWave X5 Pro Headphones, but suddenly they're not connecting to my phone anymore. They don't show up in my Bluetooth devices list at all. It's frustrating because they were working perfectly yesterday. Is there a way to fix this, or should I proceed with a return?",38
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Robert Butler,kanejeremy@example.net,+1-506-404-8058x925,"9981 Ryan Turnpike Suite 225, South Ashleyton, OH 52823",503b4078-a39c-4ec6-b746-4c02871854c1,2025-01-02T10:32:23.859-05:00,Technical Support,Customer is experiencing technical difficulties with the product.,40
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Robert Butler,kanejeremy@example.net,+1-506-404-8058x925,"9981 Ryan Turnpike Suite 225, South Ashleyton, OH 52823",f480b91e-700e-4efc-a4ff-c31a5b86ea69,2025-01-11T12:14:53.393-05:00,Account Management,Customer wants to update account information.,47
23b8c1e9-3924-46de-beb1-3b9046685257,James Hamilton,kathleencastillo@example.org,369.338.9833x1465,"5355 Kayla Extension Suite 979, South Brady, GU 31104",b69f75c5-c82b-41be-a1eb-64e6fd498e20,2024-10-06T13:31:39.044-04:00,Product Inquiry,Customer has questions about product features.,35
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,James Todd,rodriguezbrian@example.net,(740)551-4770,"88487 Heather Skyway, South Brandyhaven, AZ 33984",dd3f487e-52bd-4661-9fe0-a8c7fc8d5b93,2025-05-15T23:57:13.650-04:00,Technical Support,Customer is experiencing technical difficulties with the product.,21
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,James Todd,rodriguezbrian@example.net,(740)551-4770,"88487 Heather Skyway, South Brandyhaven, AZ 33984",89b4094a-e048-41de-81f8-3199f4eae769,2025-03-19T09:29:29.240-04:00,Technical Support,Customer is experiencing technical difficulties with the product.,37
972a8469-1641-4f82-8b9d-2434e465e150,Duane Mccormick,brian01@example.com,+1-345-410-4636x81579,"003 Cook Lock Apt. 055, Colleenbury, NY 36660",60452909-536d-47d7-be0f-84cec82f78fd,2024-09-08T17:40:50.722-04:00,Billing,Customer has a billing question regarding recent invoice.,26
17fc695a-07a0-4a6e-8822-e8f36c031199,Lori Johns,raymondstacy@example.org,(856)521-6893,"9578 Jamie Dam Apt. 248, South Wendy, WI 19526",accb461a-9d13-4363-9f29-4a8bd1846c39,2025-01-19T03:23:00.840-05:00,Account Management,Customer wants to update account information.,2
17fc695a-07a0-4a6e-8822-e8f36c031199,Lori Johns,raymondstacy@example.org,(856)521-6893,"9578 Jamie Dam Apt. 248, South Wendy, WI 19526",09ce3cfb-2339-4a19-a563-7cc3ca97ebf5,2024-09-11T04:21:10.404-04:00,Feedback,Customer wants to provide feedback on their experience.,31
17fc695a-07a0-4a6e-8822-e8f36c031199,Lori Johns,raymondstacy@example.org,(856)521-6893,"9578 Jamie Dam Apt. 248, South Wendy, WI 19526",8a9c66f7-cee4-4512-9802-b640ab0b4cc5,2024-10-26T14:32:40.512-04:00,Billing,Customer has a billing question regarding recent invoice.,49
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Krystal Moore,grantstacy@example.org,(652)405-6647,"20994 Caitlyn Fort, West Christopherfort, DC 66341",7fc15858-2fa0-4842-bc55-300b06a241af,2024-12-03T12:04:03.933-05:00,Billing,Customer has a billing question regarding recent invoice.,36
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Krystal Moore,grantstacy@example.org,(652)405-6647,"20994 Caitlyn Fort, West Christopherfort, DC 66341",06ac1010-2e08-49c1-853b-45fe636cf499,2024-09-22T20:50:28.208-04:00,Feedback,Customer wants to provide feedback on their experience.,15
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Krystal Moore,grantstacy@example.org,(652)405-6647,"20994 Caitlyn Fort, West Christopherfort, DC 66341",80ff2909-2d85-4212-b554-e1f8f9a55cf2,2024-12-12T12:59:13.367-05:00,Feedback,Customer wants to provide feedback on their experience.,41
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Krystal Moore,grantstacy@example.org,(652)405-6647,"20994 Caitlyn Fort, West Christopherfort, DC 66341",38491ecc-8891-47fd-a804-d0ac795741bb,2024-07-16T04:07:26.738-04:00,Product Inquiry,Customer has questions about product features.,26
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Krystal Moore,grantstacy@example.org,(652)405-6647,"20994 Caitlyn Fort, West Christopherfort, DC 66341",31891f48-e66e-4c11-91de-febf9e98961d,2024-09-22T11:16:19.925-04:00,Technical Support,Customer is experiencing technical difficulties with the product.,29
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Julie Banks,melissahenry@example.org,(533)506-0463,"757 Ronald Trail Apt. 965, Carrshire, PA 70776",ba533122-74b7-4620-8a73-b0bff2ce7eeb,2024-12-04T10:21:37.069-05:00,Feedback,Customer wants to provide feedback on their experience.,34
47378190-96da-4dac-b2ff-5d2a386ecbe0,Jerry White,nicoledavis@example.com,001-421-811-7518x689,"59222 Kayla Center, Parkermouth, LA 82611",756eb67d-acab-4b69-9ba3-7cb59399ad15,2025-02-10T00:01:31.010-05:00,Technical Support,Customer is experiencing technical difficulties with the product.,28
c241330b-01a9-471f-9e8a-774bcf36d58b,Steven Horne,deanjohnny@example.com,378.209.7339x7767,"830 Eddie Shoal Suite 020, Markland, AR 14773",8163b6ce-1877-4c06-94ad-625215bc2a3e,2024-07-15T02:59:14.324-04:00,Billing,Customer has a billing question regarding recent invoice.,26
